"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,4.35340556792975
-178,4.0950476145911
-176,3.76439188376545
-174,3.3652936698026
-172,2.90347763223345
-170,2.38713785672233
-168,1.82752061471535
-166,1.23931571426763
-164,0.640545872015421
-162,0.0515603980627142
-160,-0.507118467040406
-158,-1.0178171727324
-156,-1.46851338630853
-154,-1.85383302320782
-152,-2.17314415931012
-150,-2.42607610961095
-148,-2.60724987638752
-146,-2.70271274148845
-144,-2.69045112069344
-142,-2.54631340101199
-140,-2.25411328288355
-138,-1.81517013622592
-136,-1.25145137465718
-134,-0.600475096665599
-132,0.0941861997643259
-130,0.791355907926582
-128,1.4569315773389
-126,2.06513017433502
-124,2.59780700146177
-122,3.04311436377369
-120,3.39417913403437
-118,3.64805079673709
-116,3.80495902273154
-114,3.86783917698405
-112,3.84205862112629
-110,3.73526268116285
-108,3.55723816461979
-106,3.31966305920635
-104,3.03558892247057
-102,2.71852080099165
-100,2.38105995111739
-98,2.03327346970798
-96,1.68119446632655
-94,1.3259952382583
-92,0.964278599247015
-90,0.589613995123809
-88,0.195102457395248
-86,-0.22339883572648
-84,-0.66370444860774
-82,-1.11364900079695
-80,-1.54795877931199
-78,-1.92725173336412
-76,-2.20207713663428
-74,-2.32454994949357
-72,-2.26531631990924
-70,-2.02625424392
-68,-1.63920172792239
-66,-1.15200744388135
-64,-0.612578350849075
-62,-0.0592311991153572
-60,0.481819298889676
-58,0.994867496575152
-56,1.47184373248312
-54,1.90958953189978
-52,2.3076963171712
-50,2.6668780058803
-48,2.98774724873085
-46,3.26991133774449
-44,3.51138148438885
-42,3.70833481327166
-40,3.85525643175014
-38,3.94543062807913
-36,3.97168342868164
-34,3.9272420512223
-32,3.80658555739368
-30,3.60620269150737
-28,3.32522135470738
-26,2.9659075115976
-24,2.53404115163837
-22,2.03916849971318
-20,1.4947182565014
-18,0.917974871410254
-16,0.329935140124497
-14,-0.244886342550853
-12,-0.778675351798791
-10,-1.24077219294611
-8,-1.59903739130026
-6,-1.82314396621837
-4,-1.89024573644104
-2,-1.79154963041103
0,-1.53631872537119
2,-1.15035286677071
4,-0.669447903198329
6,-0.131401584340255
8,0.429990465198387
10,0.987750224561127
12,1.52200178144405
14,2.01892528215656
16,2.46931229747095
18,2.86722223843874
20,3.20892819654568
22,3.49217740078704
24,3.71572382641762
26,3.87906953544408
28,3.98234900982537
30,4.02629464637127
32,4.01222763181231
34,3.9420261820698
36,3.81803368330139
38,3.64288430710591
40,3.41924481360402
42,3.14949893320768
44,2.83543273982203
46,2.47801032726277
48,2.07735174132853
50,1.63303503754366
52,1.14484451364597
54,0.614087954689034
56,0.0456131468622588
58,-0.549361107029394
60,-1.14964369238852
62,-1.7203326154295
64,-2.21096578996575
66,-2.55954450675553
68,-2.70644083105569
70,-2.61591590728933
72,-2.29236459987746
74,-1.77794574337224
76,-1.134058130463
78,-0.421559409579049
80,0.310138445610811
82,1.0252976314759
84,1.69976783771432
86,2.31792444899445
88,2.87004877323341
90,3.35043724834967
92,3.75611819639158
94,4.08598631574134
96,4.34020253803564
98,4.51975725030725
100,4.6261334560911
102,4.66103234330732
104,4.626141637649
106,4.52294136201853
108,4.35255460728254
110,4.11566291648349
112,3.81251520171373
114,3.44306266034434
116,3.00724637029534
118,2.50544607825278
120,1.9390665176418
122,1.31119291488111
124,0.627200340352437
126,-0.104815910079402
128,-0.873837972658142
130,-1.66570276037277
132,-2.46201622434609
134,-3.23662872483784
136,-3.94804560755986
138,-4.52888662792655
140,-4.88200851966687
142,-4.90341684135532
144,-4.53900317378521
146,-3.83030500201964
148,-2.89375602427196
150,-1.85776666094255
152,-0.820034104896315
154,0.159842822113703
156,1.05106058083961
158,1.84062613250381
160,2.52542631903376
162,3.10735372136295
164,3.59049333794891
166,3.97954245677682
168,4.27895138310026
170,4.49249911989007
172,4.62314830002277
174,4.67309047552987
176,4.64392499695672
178,4.53693120811387
180,4.35340556792975
