"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,-1.41440529610899
-178,-1.77249651936724
-176,-2.09474361818223
-174,-2.38506523218176
-172,-2.65652682955073
-170,-2.92985654847747
-168,-3.23067501525687
-166,-3.58662435374326
-164,-4.02531041048018
-162,-4.57335880653127
-160,-5.25634195654576
-158,-6.09893578900264
-156,-7.12411924738766
-154,-8.34883701173315
-152,-9.7698746564301
-150,-11.3260979720663
-148,-12.8212932319435
-146,-13.8663431253418
-144,-14.0991973876934
-142,-13.6197457151601
-140,-12.8651833476241
-138,-12.1734598298807
-136,-11.6876148711542
-134,-11.4341302210871
-132,-11.3803735726285
-130,-11.4570063815916
-128,-11.5702793958282
-126,-11.6254233472338
-124,-11.5655770132745
-122,-11.4013946474134
-120,-11.2015545920277
-118,-11.053632718161
-116,-11.0291805253842
-114,-11.166476144042
-112,-11.4612322344408
-110,-11.8528486507668
-108,-12.2072785143631
-106,-12.3296432824274
-104,-12.0598813002733
-102,-11.4022073768134
-100,-10.5184508931409
-98,-9.59644232267656
-96,-8.76345836629524
-94,-8.08116717380062
-92,-7.56753865601456
-90,-7.21432192099815
-88,-6.99561906694184
-86,-6.87094565946488
-84,-6.7871591480406
-82,-6.68372523096244
-80,-6.50442752948861
-78,-6.21337700535393
-76,-5.80622885228432
-74,-5.30791162920242
-72,-4.75866044755541
-70,-4.19851428951867
-68,-3.65791784785895
-66,-3.15511738600084
-64,-2.69751185504597
-62,-2.28432235018355
-60,-1.90923084572079
-58,-1.56258077087093
-56,-1.23315983183968
-54,-0.909702988701966
-52,-0.58222689949786
-50,-0.243217007303759
-48,0.111419609607663
-46,0.481797084185799
-44,0.864038447459049
-42,1.25084320260535
-40,1.63250646012586
-38,1.99813990351198
-36,2.33682723054843
-34,2.63852477889013
-32,2.89463480515005
-30,3.0982780039603
-28,3.24434789437974
-26,3.3294466145142
-24,3.35179647584672
-22,3.31121084718738
-20,3.20920184288509
-18,3.04930396364927
-16,2.83769714523515
-14,2.58420132098975
-12,2.30364532990727
-10,2.01740807843715
-8,1.75449464228831
-6,1.55086317712486
-4,1.44530941007738
-2,1.4711344716469
0,1.64584504646769
2,1.96437163494131
4,2.40044516525685
6,2.91519423926241
8,3.46745496900072
10,4.02101588534088
12,4.54760940419256
14,5.02690303504356
16,5.44514287409629
18,5.79353892698062
20,6.06687934109311
22,6.26250159411397
24,6.37959457463705
26,6.41876134719878
28,6.38177270400834
30,6.27145379569594
32,6.09165711163213
34,5.84728094372481
36,5.54429339313204
38,5.18972050843938
40,4.7915581204351
42,4.35857758877942
44,3.90002410993103
46,3.4252567649091
48,2.94344502576225
50,2.46349241867767
52,1.99436534230653
54,1.54592513287282
56,1.13017501817199
58,0.762550768015274
60,0.462557584196169
62,0.252834286069073
64,0.155921452767226
66,0.188973481311425
68,0.358213631662514
70,0.655886448219463
72,1.06146428320147
74,1.54637027762133
76,2.07970431236881
78,2.63271625701622
80,3.18120199314473
82,3.70616263139287
84,4.19345307801846
86,4.63302445077922
88,5.01811173011228
90,5.34451946133999
92,5.61004668477286
94,5.81404278995251
96,5.95706960820213
98,6.04064309295102
100,6.06703125958669
102,6.03909021768169
104,5.96012632197506
106,5.83377970709575
108,5.6639325695893
110,5.45465359417245
112,5.21019604215766
114,4.93506863863583
116,4.63419268134644
118,4.31314335999772
120,3.97844691031357
122,3.63786890289561
124,3.30058780550589
126,2.97711470503384
128,2.67881837248793
130,2.41697584958374
132,2.20141159212835
134,2.03898507347285
136,1.93234184503887
138,1.87933447261274
140,1.87330440232429
142,1.90409893558968
144,1.95946493525904
146,2.02642591399596
148,2.0923777946293
150,2.14581414232053
152,2.17672016391063
154,2.17672968508983
156,2.1391410277004
158,2.05886724383198
160,1.93237469052428
162,1.75764958562916
164,1.53422436432486
166,1.26328938973797
168,0.947903612047118
170,0.593290945910085
172,0.207157092077572
174,-0.200122497452944
176,-0.615698263240227
178,-1.02515578005746
180,-1.41440529610899
