"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,1.92379268949053
-178,2.30349577129498
-176,2.59574371794803
-174,2.80269267525067
-172,2.92811058368388
-170,2.97659929094239
-168,2.95307747057749
-166,2.86245673557864
-164,2.70948763939171
-162,2.4987878694989
-160,2.23509455801076
-158,1.92380832866997
-156,1.5719163755986
-154,1.18938112462971
-152,0.791016455448074
-150,0.398650248858064
-148,0.0428508284153292
-146,-0.237356694144635
-144,-0.399016324035783
-142,-0.405205387495044
-140,-0.237637159967815
-138,0.0953230366999332
-136,0.561130572637947
-134,1.11418866559072
-132,1.70815850369252
-130,2.30379091941186
-128,2.87152233967361
-126,3.39080089123751
-124,3.8481820404944
-122,4.23536328912167
-120,4.54759897923345
-118,4.78256175952366
-116,4.93958260374758
-114,5.01917804988725
-112,5.02278798310118
-110,4.95266779585007
-108,4.81189375488935
-106,4.60444671528455
-104,4.3353366403891
-102,4.01072004513511
-100,3.63794853102956
-98,3.225478020452
-96,2.78258047506844
-94,2.31885136269045
-92,1.8436068114695
-90,1.36539615986592
-88,0.89195957803574
-86,0.430951392975887
-84,-0.00844188761162186
-82,-0.413255617897107
-80,-0.764712923836887
-78,-1.03786899687733
-76,-1.20464383626233
-74,-1.24092021736249
-72,-1.13556332437504
-70,-0.896393923664766
-68,-0.548968200797648
-66,-0.128911858893556
-64,0.327393026756829
-62,0.789472239564025
-60,1.23556547891808
-58,1.65257776646449
-56,2.03461396971933
-54,2.3810638853698
-52,2.69466536102331
-50,2.97966364605864
-48,3.24010316180296
-46,3.47834240983904
-44,3.69396825049788
-42,3.88330609027613
-40,4.03962935431321
-38,4.15399901391657
-36,4.21650792050612
-34,4.21764943020161
-32,4.14958741765728
-30,4.00722151537316
-28,3.78904848953458
-26,3.49787422153277
-24,3.14141677061064
-22,2.73276096057563
-20,2.29048893108603
-18,1.83815433145301
-16,1.40268716275021
-14,1.01148183818986
-12,0.688468360633783
-10,0.450238536095248
-8,0.303712622049593
-6,0.246316364996598
-4,0.268401122178359
-2,0.356644180038995
0,0.497103396873018
2,0.677237242404802
4,0.886871425420652
6,1.11841597700989
8,1.36664550394861
10,1.62823905553547
12,1.90117390633621
14,2.18402754991987
16,2.47525405702901
18,2.77253139294505
20,3.07229053443698
22,3.36951355417864
24,3.6578275447972
26,3.92984798107569
28,4.17767046328024
30,4.39339402359787
32,4.56958150264035
34,4.69960628115012
36,4.77788032863039
38,4.7999933645261
40,4.76281302073419
42,4.66460284113674
44,4.50521131249751
46,4.28637110484218
48,4.01211947225927
50,3.68930039345026
52,3.32802778586338
54,2.941878568217
56,2.54747958357901
58,2.16314874253051
60,1.80648925446053
62,1.49137779735201
64,1.2254065604493
66,1.00900948037654
68,0.83685842585101
70,0.700987176195133
72,0.5943053380293
74,0.51316258912754
76,0.458181303128462
78,0.433235874553957
80,0.443014103084044
82,0.490038095027944
84,0.572246259509327
86,0.682027795607933
88,0.806935815513404
90,0.93155409819959
92,1.03962754422797
94,1.1157182598564
96,1.14606410019873
98,1.11867765281702
100,1.02289369653999
102,0.848583529126121
104,0.585189405677621
106,0.22065371657645
108,-0.259747030956261
110,-0.87469306530341
112,-1.64825624902154
114,-2.61132717647139
116,-3.8021122704319
118,-5.2616975817413
120,-7.00871240468066
122,-8.93610145556405
124,-10.5195277111323
126,-10.7353153922849
128,-9.4326470546776
130,-7.62025666127733
132,-5.95009141257842
134,-4.58608646053454
136,-3.52614059930142
138,-2.7331117223333
140,-2.16836587773405
142,-1.79818220148153
144,-1.59369638839229
146,-1.52959293282328
148,-1.58266895038384
150,-1.73028043012705
152,-1.94836021121579
154,-2.20870771375888
156,-2.47568086774844
158,-2.70356293616737
160,-2.83771553633577
162,-2.82358766779966
164,-2.62398756335227
166,-2.23585830911953
168,-1.69314887314788
170,-1.05274160847933
172,-0.374740429068546
174,0.290942832349981
176,0.908962405811123
178,1.45724933710635
180,1.92379268949053
