"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,-5.90580956516992
-178,-5.75140601167555
-176,-5.86890835161357
-174,-6.27679650059795
-172,-7.0068586859776
-170,-8.11075411884379
-168,-9.66434010152567
-166,-11.7423343473143
-164,-14.1863701662546
-162,-15.617301344552
-160,-14.0930844548441
-158,-11.2666371954901
-156,-8.72204910039083
-154,-6.68131743684445
-152,-5.06679840334057
-150,-3.78829440160903
-148,-2.77710248193398
-146,-1.98231865697825
-144,-1.36425753727511
-142,-0.889455164952381
-140,-0.527351294125445
-138,-0.248401595610268
-136,-0.0235546254134463
-134,0.174889540913985
-132,0.371219124834688
-130,0.58369396338981
-128,0.82246414396789
-126,1.08908257083868
-124,1.37797045742756
-122,1.67925211349471
-120,1.98186619901429
-118,2.27603086964642
-116,2.55467239997548
-114,2.81388927296757
-112,3.05273375548165
-110,3.27260323249606
-108,3.4764623520739
-106,3.66804361088141
-104,3.85112437448115
-102,4.02894769836197
-100,4.20382973201037
-98,4.37696959608089
-96,4.548448409974
-94,4.71737833176206
-92,4.88214615187718
-90,5.04069150221707
-88,5.19076511024573
-86,5.33012378357322
-84,5.45663291897591
-82,5.56826347314945
-80,5.66298906816619
-78,5.73861003593836
-76,5.79255185173144
-74,5.8216997475457
-72,5.82233277288351
-70,5.79020576159792
-68,5.72079933769554
-66,5.60972469441879
-64,5.45324097504796
-62,5.24882354962345
-60,4.99570850843902
-58,4.69532388706263
-56,4.35149439598827
-54,3.97027783776229
-52,3.5592828994016
-50,3.12637624682271
-48,2.67785631569737
-46,2.21643824559094
-44,1.73963719216414
-42,1.23916991073914
-40,0.701736508847871
-38,0.111162997591823
-36,-0.548290584262613
-34,-1.28739052305292
-32,-2.10543536620144
-30,-2.98047544944399
-28,-3.8558366113417
-26,-4.62880183262188
-24,-5.16187426966359
-22,-5.34095046070436
-20,-5.15256235070861
-18,-4.69352461223797
-16,-4.10056190639691
-14,-3.48439151722355
-12,-2.91150299066566
-10,-2.41386946577846
-8,-2.00312730303627
-6,-1.68092305268437
-4,-1.44500002573986
-2,-1.29231856499901
0,-1.22030130294912
2,-1.22686277903853
4,-1.30957031532572
6,-1.46407769555379
8,-1.68184132280325
10,-1.94711443606859
12,-2.23349161593134
14,-2.50114380788842
16,-2.69746067905941
18,-2.76498059342013
20,-2.65793172913799
22,-2.36047199100349
24,-1.89343229166081
26,-1.30379186947703
28,-0.645855347364793
30,0.0332766880701181
32,0.699422323750754
34,1.33076690195425
36,1.91486269027868
38,2.44549339133877
40,2.92025598616306
42,3.33896660492198
44,3.70274027704707
46,4.013549482409
48,4.27408662785061
50,4.48778576315567
52,4.65888477737779
54,4.79243128548017
56,4.89415853544366
58,4.97018845387145
60,5.02656220394587
62,5.06865261040372
64,5.10056490870013
66,5.12466061555207
68,5.14132392584804
70,5.14902884206228
72,5.14468134195837
74,5.12414131109019
76,5.08280172493055
78,5.0161209926404
80,4.92005009020155
82,4.79134439301382
84,4.62778353887143
86,4.4283352978374
88,4.19329364411902
90,3.92440250639271
92,3.62495048633734
94,3.29979338281516
96,2.95523747748368
98,2.5987079646814
100,2.2381479261491
102,1.88115498295977
104,1.53395933533695
106,1.20044303478717
108,0.881438430553786
110,0.574480741764475
112,0.274040768624446
114,-0.0278944094792362
116,-0.341106956886164
118,-0.676488628935121
120,-1.0455260146553
122,-1.45990962262541
124,-1.93115969094712
126,-2.47009563144684
128,-3.08589064297668
130,-3.78429397840907
132,-4.56433467247289
134,-5.41252988603567
136,-6.29387006782621
138,-7.14144087039881
140,-7.85437534491111
142,-8.32343077175812
144,-8.48988320653905
146,-8.39242668596075
148,-8.14734518570284
150,-7.88651027147399
152,-7.71482810486667
154,-7.70178264361408
156,-7.88803790688875
158,-8.29042321895123
160,-8.89637022723226
162,-9.64032434525875
164,-10.3600839552746
166,-10.7765443918151
168,-10.6247383478832
170,-9.90824555064684
172,-8.89562950152457
174,-7.86602414385738
176,-6.98346382407641
178,-6.32066728648806
180,-5.90580956516992
