"Phi [deg]","dB(RealizedGainTotal) [] - Freq='2.4GHz' Theta='90deg'"
-180,6.53721746949521
-178,6.8317769928382
-176,7.11302334960345
-174,7.37725572417766
-172,7.62146229891454
-170,7.84332565659215
-168,8.04116443134634
-166,8.2138413340832
-164,8.3606611394706
-162,8.48127455495699
-160,8.57559671652995
-158,8.64374311096122
-156,8.68598129024588
-154,8.70269390510416
-152,8.6943473302049
-150,8.66146038036181
-148,8.60456909819188
-146,8.52418596731966
-144,8.4207546932923
-142,8.29460435841075
-140,8.14590877720527
-138,7.97465784615992
-136,7.7806473762412
-134,7.56349234563196
-132,7.3226659830171
-130,7.05756404077765
-128,6.76759056083758
-126,6.45225882371258
-124,6.11129927835791
-122,5.74476513804214
-120,5.35312589039411
-118,4.9373390518815
-116,4.49889103150929
-114,4.03979908119979
-112,3.56256832127966
-110,3.07010110495296
-108,2.56556063669257
-106,2.05219627836616
-104,1.53314302446099
-102,1.01121026085349
-100,0.48867343979566
-98,-0.0329234785947195
-96,-0.55295471529273
-94,-1.07189341508294
-92,-1.59148846089887
-90,-2.11492568707247
-88,-2.64693909078211
-86,-3.19381186010425
-84,-3.76318463059138
-82,-4.36357053416723
-80,-5.00345559316355
-78,-5.68982562715992
-76,-6.42590491936142
-74,-7.20786744855679
-72,-8.02047684147519
-70,-8.83247044788945
-68,-9.59460474940329
-66,-10.2460754665591
-64,-10.7341238728721
-62,-11.0407479835902
-60,-11.1966391670672
-58,-11.2688857472892
-56,-11.3335131418307
-54,-11.4526904241059
-52,-11.6632097416557
-50,-11.970726712794
-48,-12.3431724062537
-46,-12.7034255613316
-44,-12.9343774215732
-42,-12.9197431131928
-40,-12.6159796857552
-38,-12.0886377449873
-36,-11.4683275771541
-34,-10.8816300268333
-32,-10.4178184858725
-30,-10.1294156173118
-28,-10.0429555501876
-26,-10.1668543892992
-24,-10.4924704278751
-22,-10.986742129471
-20,-11.5753752113318
-18,-12.1229681819811
-16,-12.4414075234811
-14,-12.3746104737233
-12,-11.9184958039906
-10,-11.22246268595
-8,-10.4703167808949
-6,-9.7944592429236
-4,-9.26715888008032
-2,-8.92143569003256
0,-8.77013413627502
2,-8.81731205242625
4,-9.06402749642837
6,-9.51083117925351
8,-10.1580493209257
10,-11.0036247972816
12,-12.0365763129148
14,-13.221436511781
16,-14.4666117429387
18,-15.58003764909
20,-16.2732171629921
22,-16.3303882886684
24,-15.8225644330866
26,-15.0226355886549
28,-14.1687745730216
30,-13.3840668689744
32,-12.7087214215224
34,-12.1403043046677
36,-11.6572063407633
38,-11.230956549234
40,-10.8339674275894
42,-10.4455951798799
44,-10.0565510451713
46,-9.67053099770728
48,-9.30255209219878
50,-8.97498239689818
52,-8.71312815062964
54,-8.54187133579008
56,-8.48384433412794
58,-8.55881028079556
60,-8.78354090736586
62,-9.17131339962581
64,-9.7297968192983
66,-10.4551599861016
68,-11.3184687163829
70,-12.2394581953903
72,-13.0527501635379
74,-13.5152348089342
76,-13.4393534156335
78,-12.8675056961806
80,-12.0275700815333
82,-11.1430731675472
84,-10.3460381998808
86,-9.6920064714475
88,-9.19258081900044
90,-8.83558389255393
92,-8.59370886238276
94,-8.4272881172682
96,-8.28601798549049
98,-8.11388892441219
100,-7.86005300648605
102,-7.49355730160366
104,-7.01371939697656
106,-6.44825789639319
108,-5.84053047904472
110,-5.23488151614864
112,-4.66720781293
114,-4.16166071713381
116,-3.73099618411851
118,-3.37809836650457
120,-3.09738144248179
122,-2.8757718646194
124,-2.69358050655945
126,-2.52591500145414
128,-2.34535086707238
130,-2.12617073059288
132,-1.84947283685786
134,-1.50731805604879
136,-1.10392137082248
138,-0.653278625370875
140,-0.174547204422781
142,0.312666752061279
144,0.791607374294261
146,1.24991490013964
148,1.6798432246395
150,2.0777552371722
152,2.44335907812653
154,2.77893885299051
156,3.0886728562921
158,3.37803935000563
160,3.65326963619165
162,3.92080463657228
164,4.18673379245734
166,4.45623405752538
168,4.7330678889691
170,5.01922377238737
172,5.31477513271611
174,5.61799123403889
176,5.92567286473873
178,6.23363279034429
180,6.53721746949521
